Stock_Take_Transaction_ID,ST_Year,Material_Item_ID,Stock_Take_Comment,Material_Length_Measured_m,Length_Measured_Indicator,Material_Width_Measured_m,Width_Measured_Indicator,Material_Full_Units_Counted,Full_Units_Counted_Indicator,Material_Quantity_Scrapped,Material_Scrapped_Indicator,Material_Unit_Price_incl_VAT,Unit_Price_Available_Indicator,VAT_Decimal,VAT_Percentage,Material_Source_Quantity_on_Hand_Value_excl_VAT,Stock_Take_Date_Key,Material_Item_Key,Material_Item_Standard_Length_mm,Material_Item_Standard_Width_or_Diameter_mm,Material_Item_Quantity_Unit_of_Measure,Stock_Take_Indicators_Key,Import_Action,Effective_Date,IBPT_ID,Material_Unit_Price_excl_VAT,Material_Quantity_Counted,Material_Quantity_on_Hand,Material_Value_Scrapped_excl_VAT,Material_Value_on_Hand_excl_VAT,ErrorCode,ErrorColumn,ErrorDescription
ST2021122,2021,ALM00028,*None,.000,Length measured,,No width measured,,No full units counted,,No material scrapped,132.81,Unit price available,.14,14%,0,20210101,28,-1.00,30.00,m,1,Insert,2021/12/01,9,116.5,.000000000000000,0,0,0,-1071607683,0,The data value violates integrity constraints.

ST2021123,2021,ALM00029,*None,11.600,Length measured,,No width measured,,No full units counted,,No material scrapped,144.10,Unit price available,.14,14%,1466.280702,20210101,29,-1.00,32.00,m,1,Insert,2021/12/01,9,126.40350877192982,11.600000000000000,11.6,0,1466.280701754386,-1071607683,0,The data value violates integrity constraints.

ST2021124,2021,ALM00030,*None,1.530,Length measured,,No width measured,,No full units counted,,No material scrapped,753.25,Unit price available,.14,14%,1010.940789,20210101,30,-1.00,40.00,m,1,Insert,2021/12/01,9,660.74561403508767,1.530000000000000,1.53,0,1010.9407894736842,-1071607683,0,The data value violates integrity constraints.

ST2021125,2021,ALM00031,*None,1.715,Length measured,,No width measured,,No full units counted,,No material scrapped,291.84,Unit price available,.14,14%,439.04000000000002,20210101,31,-1.00,45.00,m,1,Insert,2021/12/01,9,256,1.715000000000000,1.7150000000000001,0,439.04000000000002,-1071607683,0,The data value violates integrity constraints.

ST2021126,2021,ALM00032,*None,5.650,Length measured,,No width measured,,No full units counted,,No material scrapped,347.70,Unit price available,.14,14%,1723.25,20210101,32,-1.00,51.00,m,1,Insert,2021/12/01,9,305,5.650000000000000,5.6500000000000004,0,1723.25,-1071607683,0,The data value violates integrity constraints.

ST2021127,2021,ALM00033,*None,.750,Length measured,,No width measured,,No full units counted,,No material scrapped,753.25,Unit price available,.14,14%,495.55921050000001,20210101,680,-1.00,65.00,m,1,Insert,2021/12/01,9,660.74561403508767,.750000000000000,0.75,0,495.55921052631572,-1071607683,0,The data value violates integrity constraints.

ST2021128,2021,BRS00024,*None,7.180,Length measured,,No width measured,,No full units counted,,No material scrapped,14.82,Unit price available,.14,14%,93.340000000000003,20210101,128,-1.00,5.00,m,1,Insert,2021/12/01,9,13,7.180000000000000,7.1799999999999997,0,93.340000000000003,-1071607683,0,The data value violates integrity constraints.

ST2021129,2021,BRS00025,*None,.860,Length measured,,No width measured,,No full units counted,,No material scrapped,19.16,Unit price available,.14,14%,14.45403509,20210101,129,-1.00,6.00,m,1,Insert,2021/12/01,9,16.807017543859651,.860000000000000,0.85999999999999999,0,14.4540350877193,-1071607683,0,The data value violates integrity constraints.

ST202113,2021,MST00005,*None,9.800,Length measured,,No width measured,,No full units counted,,No material scrapped,31.92,Unit price available,.14,14%,274.39999999999998,20210101,324,-1.00,30.00,m,1,Insert,2021/12/01,9,28,9.800000000000000,9.8000000000000007,0,274.40000000000003,-1071607683,0,The data value violates integrity constraints.

