M_Year,M_Material_Item_ID,M_Material_Type,M_Material_Item_Category,M_Material_Item_Detail_1,M_Material_Item_Detail_2,M_Material_Item_Size,M_Material_Item_Size_Unit_Of_Measure,M_Material_Item_Size_Note,M_Material_Item_Standard_Length_mm,M_Material_Item_Standard_Width_or_Diameter_mm,M_Material_Item_Standard_Height_mm,M_Material_Item_Standard_Interior_Diameter_mm,M_Material_Item_Standard_Thinkness_or_Wall_mm,M_Material_Item_Quantity_Unit_of_Measure,M_Material_Group,IBPT_ID,ErrorCode,ErrorColumn,ErrorDescription
2021,PSP00037,Perspex,Tubing,Round,*None,60 x 50 x 5,mm,*None,-1.00,60.00,-1.00,50.00,5.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00012,Aluminium,Bar,Flat,*None,25.4 x 3.15,mm,*None,-1.00,25.40,-1.00,-1.00,3.15,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00039,Aluminium,Bar,Square,*None,30.2 x 30.2,mm,*None,-1.00,30.20,30.20,-1.00,-1.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,ELN00002,Ertalon,Rod,*None,*None,50,mm,*None,-1.00,50.00,-1.00,-1.00,-1.00,m,Ertalon/Vescolene,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00005,Perspex,Rod,*None,*None,70,mm,*None,-1.00,70.00,-1.00,-1.00,-1.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00043,Aluminium,Sheet,*None,*None,0.7,mm,*None,2500.00,1250.00,-1.00,-1.00,.70,m²,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00064,Glass,Stopcock,Single way,SWB,14.5 / 4,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00017,PVC,Sheet,Simona,*None,6.5,mm,*None,2000.00,1000.00,-1.00,-1.00,6.50,m²,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00050,Glass,Socket,*None,*None,12,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00001,Stainless steel,Angle iron,*None,*None,25.2 x 25.2 x 3.1,mm,*None,-1.00,25.20,25.20,-1.00,3.10,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00021,Aluminium,Bar,Round,*None,9.5,mm,*None,-1.00,9.50,-1.00,-1.00,-1.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00043,Brass,Bar,Square,*None,12.7 x 12.7,mm,*None,-1.00,12.70,12.70,-1.00,-1.00,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00043,Perspex,Tubing,Round,*None,80 x 70 x 5,mm,*None,-1.00,80.00,-1.00,70.00,5.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00022,PVC,Sheet,*None,*None,8,mm,*None,1000.00,2000.00,-1.00,-1.00,8.00,m²,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00061,Stainless steel,Tubing,Dairy,*None,60.3 x 2.8,mm,*None,-1.00,60.30,-1.00,-1.00,2.80,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00091,Stainless steel,Tubing,Round,*None,60.33 x 2.77,mm,*None,-1.00,60.33,-1.00,57.56,2.77,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00011,Perspex,Sheet,Tinted,*None,3,mm,*None,3050.00,2030.00,-1.00,-1.00,3.00,m²,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00047,Aluminium,Sheet,*None,*None,1.6,mm,*None,2500.00,1250.00,-1.00,-1.00,1.60,m²,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00074,Stainless steel,Tubing,Hydraulic,*None,26.8 x 2.5,mm,*None,-1.00,26.80,-1.00,-1.00,2.50,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00003,Mild steel,Angle iron,*None,*None,25 x 25 x 5,mm,*None,-1.00,25.00,25.00,-1.00,5.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00025,Stainless steel,Bar,Round,*None,24,mm,*None,-1.00,24.00,-1.00,-1.00,-1.00,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00037,Mild steel,Bar,Flat,*None,100 x 6,mm,*None,-1.00,100.00,-1.00,-1.00,6.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,PPL00003,Polypropylene,Bar,Round,*None,25,mm,*None,-1.00,25.00,-1.00,-1.00,-1.00,m,Polypropylene,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00019,Stainless steel,Bar,Round,*None,10,mm,*None,-1.00,10.00,-1.00,-1.00,-1.00,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

