ST_Transaction_ID,ST_Year,ST_Material_Item_ID,ST_Stock_Take_Comment,ST_Length_Measured_m,ST_Width_Measured_m,ST_Full_Units_Counted,ST_Quantity_Scrapped,ST_Unit_Price_incl_VAT,ST_Source_Quantity_on_Hand_Value_excl_VAT,ST_VAT_Decimal,ST_Length_Measured_Indicator,ST_Width_Measured_Indicator,ST_Full_Units_Counted_Indicator,ST_Material_Scrapped_Indicator,ST_Unit_Price_Available_Indicator,ST_VAT_Percentage,IBPT_ID,ErrorCode,ErrorColumn,ErrorDescription
ST202144,2021,BRS00010,No Unit Price available,1.900,,,,,0,.14,Length measured,No width measured,No full units counted,No material scrapped,No unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202145,2021,BRS00011,*None,5.200,,,,77.75,354.64912279999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202146,2021,BRS00012,No Unit Price available,2.565,,,,,0,.14,Length measured,No width measured,No full units counted,No material scrapped,No unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202147,2021,BRS00013,No Unit Price available,2.455,,,,,0,.14,Length measured,No width measured,No full units counted,No material scrapped,No unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202148,2021,BRS00014,No Unit Price available,3.750,,,,,0,.14,Length measured,No width measured,No full units counted,No material scrapped,No unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202149,2021,BRS00015,No Unit Price available,1.725,,,,,0,.14,Length measured,No width measured,No full units counted,No material scrapped,No unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202150,2021,CPR00001,*None,2.990,,,,28.40,74.487719299999995,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202151,2021,MST00014,*None,.000,,,,4.01,0,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202152,2021,MST00015,*None,11.930,,,,4.01,41.964298249999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202153,2021,MST00016,*None,2.680,,,,7.20,16.92631579,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202154,2021,MST00017,*None,6.000,,,,11.30,59.473684210000002,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202155,2021,MST00018,*None,18.000,,,,14.12,222.94736839999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202156,2021,MST00019,*None,10.095,,,,16.91,149.74250000000001,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202157,2021,MST00020,*None,40.825,,,,24.52,878.09561399999996,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202158,2021,MST00021,*None,3.815,,,,10.81,36.175570180000001,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202159,2021,MST00022,*None,1.730,,,,16.95,25.722368419999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202160,2021,MST00023,*None,23.100,,,,20.25,410.3289474,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202161,2021,MST00024,*None,6.000,,,,26.98,142,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202162,2021,MST00025,*None,.000,,,,22.49,0,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202163,2021,MST00026,*None,.000,,,,26.90,0,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202164,2021,MST00027,*None,28.320,,,,35.81,889.59578950000002,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202165,2021,MST00028,*None,1.910,,,,37.70,63.164035089999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

