Project_ID,Request_Date,Customer_ID,Project_Category,Project_Description,Status,Labour_Costs,Material_Costs,Handling_Fee,Service_Billing_Number
P180240,2020/07/26,C00001-2-3,Equipment,Vervaardig 10 x Projekkassies,,10919,3881,0,5310203
P180241,2020/07/26,C00002-22-1,Equipment,Opsny van 3 x PVC-pyppe - soos voorbeeld,,200,0,0,5209022
P180242,2020/07/27,C00009-4-1,Engraving,Gravering van 9 x plaatjies vir groot trofees (een trofee het 2 wenners/name) + gravering van 10  x plaatjies vir klein uiltjies,,1600,110,,5167780
P180243,2020/07/27,C00001-11-18,Repairs,Herstel van poleeerder,,985,52,13,5363494
P180244,2020/07/27,C00003-2-5,Glass blowing,Glaswerk,,150,0,0,5212386
P180245,2020/07/30,C00003-6-4,Equipment,Boor + tap van 3 x gate,,225,0,0,5207982
P180246,2020/07/25,C00002-12-2,Glass blowing,Vervaardig 100 Glas Inserts (soos voorbeeld),,2275,560,140,5288438
P180247,2020/07/31,C00003-3-7,Glass blowing,Sny van quarts fritt,,300,0,0,5246125
P180248,2020/07/31,C00003-3-8,Glass blowing,Boor van gat in glasfles + aanbring van glaspypie,,375,12,3,5188630
P180249,2020/07/31,C00001-1-1,Equipment,Supply and install telescope mount extension,,4778,5522,0,5236222
P180250,2020/08/01,C00003-3-4,Microscopes and Balances,Diens/kalibreer van 5 x skale,,3250,0,0,5225494
P180251,2020/08/01,C00012-1-2,Repairs,Skoonmaak/weeg en stempel van hamergooi-balle,,6000,52,13,5267595
P180252,2020/08/02,C00002-13-1,Repairs,Poleer onderdele van doseerpomp -kapsulevuller-masjien,,300,0,0,5169499
P180253,2020/08/02,C00001-13-1,Repairs,Herstel van equilibrium,,450,0,0,5164160
P180254,2020/08/02,C00002-5-6,Equipment,Vervaardig 1 x Radioligandbad met 30 proef-openinge,,,,,
P180255,2020/08/03,C00002-12-3,Repairs,Herstel van hoë-oond,,2925,2740,0,5289739
P180256,2020/08/03,C00002-6-2,Equipment,Herstel van pilpers + Vervaardig 4 x Aluminium klamp-ringe,,8000,520,130,5208481
P180257,2020/08/06,C00002-5-7,Equipment,Vervaardig 6 x bottel-klampe,,7261,172,43,5275044
P180258,2020/08/06,C00001-5-4,Equipment,Vervaardig 1 x Vlekvryestaal filterhouer + 9 x filterhouers,,2550,1464,366,5314436
P180259,2020/08/06,C00024-1-1,Engraving,Vervaardig 1 x Skild,,220,50,0,5232496
P180260,2020/08/06,C00003-6-5,Equipment,Vervaardiging van 'n Micro Coal Burner (volgens tekeninge),,23465,9455,0,5159946
P180261,2020/08/06,C00001-3-1,Repairs,Herstel van Accutom motor van poleerder,,4788,10038,0,5263828
P180262,2020/08/07,C00003-3-2,Glass blowing,Herstel van kwartz apparate,,350,0,0,5267786
P180263,2020/08/07,C00002-6-2,Repairs,Herstel van Korsch Tabletpers,,1500,0,0,5165930
P180264,2020/08/07,C00005-1-3,Equipment,Veranderinge aan 20 x mikroskakelaars vir kaartlesers (lisensieskandeerders),,600,0.8,0.2,5267675
P180265,2020/08/07,C00002-10-1,Repairs,Herstel van suurstofsilinderkop,,75,0,0,5190028
P180266,2020/08/07,C00002-1-1,Glass blowing,Vervaardig glasbuis (soos voorbeeld) Glasbuis RIIP,,200,112,28,5186285
P180267,2020/08/07,C00002-8-1,Equipment,Voorsiening van 100 x aluminium pannetjies,,0,500,0,5178652
P180268,2020/08/13,C00001-11-19,,Diens van 2 x vakuumpompe,Not repearable,,,,
P180269,2020/08/14,C00001-5-19,Equipment,Vervaardig 1 x 8-punt Vakuumpipet + 1 x Vakuum bottelprop,,2604,56,14,5246760
P180270,2020/08/15,C00001-11-13,Equipment,Voorsien 1 x Edwards Oil Mist Filter,,0,3936,984,5185891
P180271,2020/08/15,C00002-8-2,Repairs,Herstel van Urn,,300,520,130,5353110
P180272,2020/08/15,C00001-9-1,Repairs,Adjustment : Skimmer Cone Tool,,450,0.8,0.2,5265994
P180273,2020/08/15,C00001-9-3,Equipment,Maak van passtuk vir grondbore,,600,8,2,5208043
P180274,2020/08/15,C00001-12-1,Repairs,Herstel van waterbad,,750,0,0,5229046
P180275,2020/08/16,C00006-1-1,Repairs,Hersel van sleutelsnymasjien,,900,0.8,0.2,5208196
P180276,2020/08/16,C00001-11-8,Repairs,Powdercoat van bak + herstel van trollie se wiel,,300,1636.8,409.2,5267353
P180277,2020/08/17,C00002-28-1,Repairs,Vervang bearings op motor van Inkubator,,1950,20,5,5271512
P180278,2020/07/15,C00001-2-4,Equipment,Diens van Nooitgedacht-teleskoop,,1750,0,0,5208106
P180279,2020/08/20,C00003-3-5,Microscopes and Balances,Diens en kalibreer van 1 x balans,,650,0,0,5309561
P180280,2020/08/20,C00001-11-7,Repairs,Herstelwerk : Container Welgegund,,3900,160,40,5453197
P180281,2020/08/21,C00016-1-1,Engraving,Gravering van 1 x plaatjie,,90,0,0,5209950
P180282,2020/08/21,C00001-5-4,Equipment,Verskaf 3 mm M/S plaat 460 x 600 m / Vervaardig 2 x minivolt voete / vervaardig 1 x Inlet adaptor / vervaardig Air-Vac adaptor / vervaardig heated tube adaptor,,9150,404,101,5414047
P180283,2020/08/23,C00001-5-10,Engraving,Gravering : 1 x Groot Vierkantskild + 3 x klein vierkantskildjies,,925,105,0,5270585
P180284,2020/08/23,C00002-6-3,Microscopes and Balances,Kalibreer van 1 x Analitiese Balans : Gebou G16 : 1ste Vloer : Lab. 115,,1300,0,0,5315109
P180285,2020/08/23,C00002-11-3,Microscopes and Balances,Diens / herstel van 2 x skale,,1950,168,42,5312220
P180286,2020/08/24,C00001-5-8,Repairs,Diens van 2 x Laboratory DC Counters,,600,0,0,5321953
P180287,2020/08/24,C00002-21-3,Repairs,Herstel van stikstofgenereerder,,600,0,0,5258764
P180288,2020/08/28,C00001-5-17,Equipment,Vervaardig 1 x Sample Snyer,,,,,5226056
P180289,2020/08/28,C00001-11-7,Repairs,Diens van UPS,,525,764,191,5316215
P180290,2020/08/29,C00005-1-4,Repairs,Veranderinge aan sleutelkas,,2200,48,12,5309325
P180291,2020/08/29,C00001-8-1,Engraving,Gravering van 1 x plaatjies vir vierkantskildjie,,120,0,0,5316939
P180292,2020/08/30,C00002-15-6,Equipment,Vervaardiging van 'n trappie (vierkantpyp met 'n houtblad),,100,750,0,5231703
P180293,2020/08/30,C00002-1-1,Glass blowing,Vervaardiging van glaspotjies (proeflopie),,300,0,0,5423780
P180294,2020/08/30,C00003-2-6,Glass blowing,Voorsien en vervaardiging van glasware (soos bespreek met Trevor),,787.5,1246.4,311.6,5242476
P180295,2020/08/31,C00001-1-1,,Vervaardig 2 x oogstukke vir Spotter Teleskoop / Modifiseer belyningstuk van teleskoop,,,,,
P180296,2020/09/04,C00002-5-5,Microscopes and Balances,Diens van Analitiese Balans,,300,0,0,5404043
P180297,2020/09/04,C00007-1-2,,Boor van gaatjies in ,Cancelled,,,,
P180298,2020/09/05,C00002-15-3,Repairs,Diens van 3 x Active Inlet Valves,,750,0,0,5312255
P180299,2020/09/05,C00002-22-1,Repairs,Herstel van 2 x trollies se wiele,,300,0,0,5324350
P180300,2020/09/05,C00001-5-8,Equipment,Vervaardig 10 x gewone telbakkies + 20 x manipuleernaalde,,4213,1221.6,305.4,5406879
P180301,2020/09/05,C00004-1-1,Equipment,Vervaardig 1 x Wrapper,,1193,149.6,37.4,5280672
P180302,2020/09/07,C00003-4-3,Equipment,Aankoop van materiale - Sonkar,,300,43.33,21.67,5403791
P180303,2020/09/07,C00001-5-20,Engraving,Gravering van 4 x Medaljes,,480,0,0,5309882
P180304,2020/09/10,C00002-21-3,Equipment,Herstel van 1 x filterbuis + boor van gaatjies in proefbuisproppe,,300,0,0,5454092
P180305,2020/09/09,C00001-5-10,Glass blowing,Vervaardig glasbuisies (soos voorbeeld),,300,96,24,5312677
P180306,2020/09/11,C00001-3-1,Equipment,Vervaardig 5 x Grond Erosie Apparate (Soil Erosion Display),,,,,
P180307,2020/09/11,C00007-1-2,Equipment,"Vervaardiging van 50 x ""Router"" monteerstukke (""brackets"")",,3419,1968.8,492.2,5288473
P180308,2020/09/11,C00011-1-2,Engraving,Vervaardig 1 x basis vir trofee + herstel van trofee + gravering van 2 x plaatjies,,1125,67,0,5410434
P180309,2020/09/12,C00002-19-1,Engraving,Gravering van 5 x trofees,,450,0,0,5353981
P180310,2020/09/12,C00002-18-4,Engraving,6 x Skildjies + gravering van trofees,,740,0,0,54003068
P180311,2020/09/13,C00002-6-3,Repairs,Herstel van trollie se wiele,,525,652,163,5313890
P180312,2020/09/13,C00003-3-9,Repairs,Skerpmaak van gaatjiepons lemme,,150,0,0,5309144
P180313,2020/09/13,C00001-11-20,Repairs,Herstel van skudoond,,3500,168,42,5321775
P180314,2020/09/17,C00002-21-3,Repairs,Herstel kragbron van vriesdroeër,,1225,56,14,5344050
P180315,2020/09/17,C00002-6-2,Repairs,Poleer van 8 x ponse en 3 x matryse,,700,0,0,5309723
P180316,2020/09/17,C00002-14-1,Equipment,Vervaardig 1 x houer vir plastiekbottels,,360,100,25,5316220
P180317,2020/09/20,C00001-5-21,Repairs,Diens van Sputter Coater-apparaat,,525,300,75,5575624
P180318,2020/09/20,C00002-22-1,Equipment,Opsny van 2 x PVC-pype - soos voorbeeld,,825,0,0,5324350
P180319,2020/09/20,C00001-5-7,,Vleiland-projek : Herstel lekkasie op watertenk,,,,,
P180320,2020/09/20,C00002-6-2,Equipment,Vervaardig 7 x Klimaatkamer-rakke,,8745,1936,484,5411085
P180321,2020/09/26,C00001-11-8,Equipment,Vervaardig 10 x Skaal Windskerms,,758,184,46,5411095
P180322,2020/09/26,C00008-1-1,Equipment,Vervaardig 10 x A5-Perspex Staanders,,200,600,150,5308812
P180323,2020/09/26,C00002-6-3,Equipment,Voorsien en modifiseer 1 x Chuck Spanner,,150,150,0,5405223
P180324,2020/09/26,C00002-4-4,Equipment,Aankoop van 5 x 20W 6V G4 Gloeilampies,,0,300,75,5284829
P180325,2020/09/27,C00003-3-10,Glass blowing,Vervaardig 2 x glas adaptors,,875,352,88,5335830
P180326,2020/09/27,C00002-22-2,Equipment,Vervaardig 2 x Vlekvryestaal Jashangers (1.2 meter lank),,2460,176,44,5472651
P180327,2020/09/28,C00002-4-6,Equipment,Vervaardig Perspex Vis Maze Skerms + Vervaardig 2 x Vistenkies,,1950,156.8,39.2,5346270
P180328,2020/10/01,C00001-1-1,,Modify : Dome,,,,,
P180329,2020/10/02,C00025-1-1,Engraving,Gravering van 1 x Medalje,,100,0,0,5341053
P180330,2020/10/03,C00001-11-5,Equipment,Aankoop van 2 x PVR Carbon Vane Vacuum Pumps : Model VD6,,568,15315,3063,5428681
P180331,2020/10/04,C00003-3-11,Equipment,Vervaardig 3 x seëls vir pomp,,1275,32,8,5410052
P180332,2020/10/08,C00001-11-21,Repairs,Kortermaak van 2 x 3-poot staanders + voorsien VVS-sif,,300,117.95,0,5439296
P180333,2020/10/08,C00001-11-1,Microscopes and Balances,Diens van 9 x Balanse,,5850,0,0,5442229
P180334,2020/10/08,C00007-1-2,Equipment,"Vervaardiging van 830 x ""Router"" monteerstukke (""brackets"")",,,,,5355569
P180335,2020/10/09,C00001-5-10,Equipment,Vervaardig 10 x Kolligte (Sport Lights),,1350,1504,376,5422399
P180336,2020/10/09,C00001-3-1,Repairs,Herstel van Accutom-apparaat (slypmasjien),,1725,0,0,5415128
P180337,2020/10/09,C00009-1-1,,Maak van 1 x UARM Trofee,Moved to Next Year,,,,
P180338,2020/10/09,C00001-11-1,Repairs,Herstel van sirkuleerbad,,600,520.8,130.2,5482017
P180339,2020/10/09,C00001-13-1,Repairs,Voorsien en afwerk van perspexpyp vir Ball falling on Iron apparaat,,150,240,60,5353001
P180340,2020/10/10,C00016-1-1,Engraving,Gravering van 9 x Medaljes,,900,0,0,5351836
P180341,2020/10/10,C00001-11-5,,Vervaardig 2 x glasbuisies vir elektrodes + 1 x teflonprop,Moved to Next Year,,,,
P180342,2020/10/10,C00003-4-4,,Verandering aan remskyf-flens,Moved to External,,,,
P180343,2020/10/12,C00012-1-2,Equipment,Herstel / verander gymapparate,,9280,220,55,5471646
P180344,2020/10/15,C00001-9-4,Equipment,Vervaardig : 2 x Deksels + 3 x Afskortings vir Marine Tenks (3 mm Clear Perspex),,1750,320,80,5374279
P180345,2020/10/15,C00004-1-1,Repairs,Herstel waaier se grids,,450,11.2,2.8,5346799
P180346,2020/10/15,C00001-11-1,Repairs,Herstel van oond,,600,0,0,5442229
P180347,2020/10/15,C00002-15-3,Repairs,Herstel pomp van stikstofgenereerder,,1200,4592,1148,5553107
P180348,2020/10/15,C00001-2-3,,Supply and manufacture : Telescope Dome/Telescope Dome Installation/Telescope Pier/Telescope Rails/Magnetometer Shack,,0,0,0,5349905
P180349,2020/10/15,C00001-2-4,,Manufacture : Light Box / Light Diffuser,,,,,
P180350,2020/10/16,C00020-1-1,Repairs,Herstel van gasbraaier,,875,728,182,5456477
P180351,2020/10/16,C00001-2-3,Repairs,Herstel van trollie + modifiseer trollie sodat dit ekstra 2 buise kan vat ,,2625,604,151,5466804
P180352,2020/10/16,C00001-11-1,Repairs,Herstel van 1 x Sirkuleerder /waterbad,,2250,524,131,5482017
P180353,2020/10/16,C00002-21-5,Engraving,Gravering van 3 x trofees + Maak van 4 x skildjies,,3790,830,0,5403363
P180354,2020/10/17,C00002-6-4,Equipment,Vervaardig 1 x lugpyp adaptor,,4500,36,9,5460177
P180355,2020/10/22,C00001-5-8,Repairs,Herstel van 1 x nematode sif,,900,80,20,5414152
P180356,2020/10/25,C00002-4-7,Repairs,Herstel van 3 x rotkassies,,600,0,0,5456646
P180357,2020/10/25,C00001-1-1,,Manufacture : Camera bracket,,,,,
P180358,2020/10/25,C00002-3-2,Glass blowing,Herstel van 1 x Dissolusie 1000 ml Glasfles,,450,0,0,5458811
P180359,2020/10/30,C00001-11-22,Repairs,Elektrochemiese reaktor : Groter boor van gat ,,150,0,0,5428735
P180360,2020/10/30,C00001-5-10,Glass blowing,Vervaardig 30 x L-vormige glasbuisies,,2115,948,237,5461704
P180361,2020/10/30,C00002-28-1,Equipment,Vervaardig 4 x Agarose Gelbakkies,,1836,20.32,5.08,5368562
P180362,2020/10/30,C00003-1-2,Equipment,Voorsien 20 x Amberkleurige Perspex A-4 Grootte Enkelblad Dokumentstaanders,,1730,2616,654,5370273
P180363,2020/10/30,C00002-4-1,Repairs,Veranderinge / herstel van vistenkies,,900,0,0,5421600
P180364,2020/10/30,C00001-5-10,Repairs,Skerpmaak van snoeiskêr,,150,0,0,5422399
P180365,2020/10/30,C00001-11-5,,Vervaardig 1 x reaktor,Moved to Next Year,,,,
P180366,2020/10/31,C00001-5-4,Equipment,Vervaardig 1 x Inlet Water Trap,,1783,108.64,27.16,5389459
P180367,2020/10/31,C00001-1-1,,Manufacture : Beam Splitter,Moved to Next Year,,,,
P180368,2020/10/31,C00002-21-5,Engraving,Gravering : 3 x Trofees + maak van 5 x skildjies,,1420,300,0,5443368
P180369,2020/10/31,C00002-22-3,,Diens van Lab Vacuum System,,,,,
P180370,2020/11/01,C00001-6-1,Equipment,Manufacture of 12 Laboratory Weights for the Herbarium,,1043,154.4,38.6,5392081
P180371,2020/11/05,C00004-0-1,Repairs,Diens/herstel van shredder,,525,0,0,5422067
P180372,2020/11/05,C00001-11-23,,Herstel van temperatuurbeheerder op waterbad,Moved to Next Year,,,,
P180373,2020/11/05,C00001-11-7,Repairs,Diens van water trap,,375,0,0,5453197
P180374,2020/11/06,C00001-5-10,Repairs,Diens/herstel van sentrifuge,,450,0,0,5422399
P180375,2020/11/06,C00021-1-1,,Gravering van Jan-Louis du Plooy Handtrofee,Moved to External,,,,
P180376,2020/11/06,C00005-1-1,Equipment,Vervaardig 2 x Mikrofoon Brackets,,512,28,0,5396743
P180377,2020/11/07,C00026-1-1,,Repair Travelling Rails / Repair 1 x trolley + rail,Moved to Next Year,,,,
P180378,2020/11/08,C00002-15-2,,Vervaardig en installeer van Vlekvryestaal yskasrakkies vir 2 x nuwe yskaste,Moved to Next Year,,,,
P180379,2020/11/05,C00002-15-3,Repairs,Herstel van Buchi ,,612.5,0,0,5456262
P180380,2020/11/05,C00001-11-8,,Diens/herste van 27 x Balanse,,,,,
P180381,2020/11/08,C00004-3-1,Repairs,Herstel 32 x gastronoompanne / 2 x porsierame / 1 x deksel,,11175,150,0,54113176
P180382,2020/09/12,C00002-23-1,Engraving,Gravering van 2 x Graveerbrass plaatjies vir stoele,,557,13,0,5444690
P180383,2020/11/13,C00002-5-7,,Service and repair of stirrer and powder coat of plate,,,,,
P180384,2020/11/13,C00002-2-1,Repairs,Service Nitrogen Generator,,,,,5417124
P180385,2020/11/13,C00003-4-3,Equipment,Aankoop van materiaal : Sonkar,,75,160,40,5465569
P180386,2020/11/08,C00001-11-1,Microscopes and Balances,Herstel van 1 x balans,,2400,0,0,5482004
P180387,2020/11/14,C00003-6-5,Equipment,Addisionele Koste : Vervaardiging van Micro Coal Burner,,9625,0,0,5159946
P180388,2020/11/15,C00003-6-5,Equipment,Opvolgwerk : Vervaardiging van Micro Coal Burner,,13500,672,168,5476897
P180389,2020/11/15,C00002-8-2,Glass blowing,Weegbootjies : 5 ml x 50 van,,650,2875,0,5341200
P180390,2020/11/16,C00002-13-8,,Herstel van kapsulevuller-masjien,Moved to Next Year,,,,
P180391,2020/11/21,C00003-3-3,,Veranderinge aan 1 x Watertrap,Moved to Next Year,,,,
P180392,2020/11/21,C00001-11-24,,Voorsien 6 x klampe (soos voorbeeld),Moved to Next Year,,,,
P180393,2020/11/21,C00009-2-2,,Gravering van naam vir ererolbord - Gebou E5 - 2de Vloer,Moved to Next Year,,,,
P180394,2020/11/22,C00001-12-1,,Herstel van 2 x ysmasjiene,Moved to Next Year,,,,
P180395,2020/11/26,C00003-4-1,Equipment,Aankoop van materiale en sweiswerk,,475,1080,540,5467175
P180396,2020/11/26,C00001-5-4,,Vervaardig 1 x Lugvloeimeter,,,,,
P180397,2020/11/28,C00001-11-8,Equipment,Sandblast en powder coat van 13 x panne,,300,3072,768,5455394
P180398,2020/12/03,C00001-9-5,Microscopes and Balances,Diens van skaal,,1750,33.6,8.4,5484112
P180399,2020/12/04,C00002-8-3,Equipment,Kortermaak van naalde,,150,0,0,5471173
P180400,2020/12/04,C00002-15-3,Repairs,Herstel van stikstofgenereerder (seël het geblaas),,900,4769,0,5493788
P180401,2020/11/30,C00002-21-3,,Diens van stikstofgenereerder,Cancelled,,,,
P180402,2020/11/30,C00001-5-4,,Vervaardig rakke vir raamwerk,Moved to External,,,,
P180403,2020/12/10,C00001-11-7,,Herstel van kompressor,Moved to Next Year,,,,
P180404,2020/12/10,C00001-11-7,,Herstel van Reënmeter,Moved to Next Year,,,,
P180405,2020/12/05,C00003-6-5,Equipment,Voorsien manometer/boor 12 x gate in termo couples/sny en sweis van skoorsteen,,5185,1068,267,5476914
P180406,2020/12/05,C00003-2-4,,Voorsien 4 x Hose Bends,,,,,
