Year,Item ID,Material,Item Category,Item Detail 1,Item Detail 2,Item Size,Size Unit of Measure,Size Note,Comment,Standard Length (mm),Standard Width or Diameter (mm),Standard Height (mm),Standard Interior Diameter (mm),Standard Thinkness / Wall (mm),Item Length Measured (m),Item Width Measured (m),Full Units Counted,Quantity Unit of Measure,Quantity Scapped,Unit price incl VAT,VAT,Source Quantity on hand value excl VAT rounded
2020,MST00039,Mild steel,Bar,Flat,,100 x 10,mm,,,,100,,,10,6.95,,,m,,108.21,0.14,659.7013158
2020,SST00007,Stainless steel,Bar,Flat,,25 x 3,mm,,,,25,,,3,12.93,,,m,,29.64,0.14,336.18
2020,SST00008,Stainless steel,Bar,Flat,,25 x 6,mm,,,,25,,,6,11.515,,,m,,55.63,0.14,561.9117982
2020,SST00009,Stainless steel,Bar,Flat,,50 x 5,mm,,,,50,,,5,4.4,,,m,,110.8,0.14,427.6491228
2020,SST00010,Stainless steel,Bar,Flat,,65 x 6,mm,,,,65,,,6,1.325,,,m,,202.92,0.14,235.85
2020,ALM00017,Aluminium,Bar,Hexagon,,13,mm,,,,13,,,,0.72,,,m,,29.64,0.14,18.72
2020,BRS00016,Brass,Bar,Hexagon,,6.35,mm,,,,6.35,,,,18.095,,,m,,25,0.14,396.8201754
2020,BRS00017,Brass,Bar,Hexagon,,8,mm,,,,8,,,,4.13,,,m,,25.65,0.14,92.925
2020,BRS00018,Brass,Bar,Hexagon,,9.55,mm,,,,9.55,,,,0,,,m,,37.81,0.14,0
2020,BRS00019,Brass,Bar,Hexagon,,10,mm,,,,10,,,,0,,,m,,37.81,0.14,0
2020,BRS00020,Brass,Bar,Hexagon,,10.9,mm,,,,10.9,,,,7.7,,,m,,45.6,0.14,308
2020,BRS00021,Brass,Bar,Hexagon,,12,mm,,,,12,,,,0,,,m,,53.2,0.14,0
2020,BRS00022,Brass,Bar,Hexagon,,20,mm,,,,20,,,,0.85,,,m,,236.38,0.14,176.2482456
2020,BRS00023,Brass,Bar,Hexagon,,23.88,mm,,,,23.88,,,,0.72,,,m,,160.74,0.14,101.52
2020,MST00040,Mild steel,Bar,Hexagon,,11,mm,,,,11,,,,7.28,,,m,,53.18,0.14,339.605614
2020,MST00041,Mild steel,Bar,Hexagon,,19,mm,,,,19,,,,1.62,,,m,,40.24,0.14,57.18315789
2020,MST00042,Mild steel,Bar,Hexagon,,22,mm,,,,22,,,,2.095,,,m,,93.72,0.14,172.2310526
2020,MST00043,Mild steel,Bar,Hexagon,,27,mm,,,,27,,,,2.745,,,m,,141.29,0.14,340.2114474
2020,SST00011,Stainless steel,Bar,Hexagon,,10,mm,,,,10,,,,2.37,,,m,,43.22,0.14,89.85210526
2020,MST00044,Mild steel,Bar,Hollow,,32 x 16 x 8,mm,,No Unit Price available,,32,16,,8,2.5,,,m,,,0.14,0
2020,MST00045,Mild steel,Bar,Round,Bright,4,mm,,,,4,,,,22.36,,,m,,2.85,0.14,55.9
2020,MST00046,Mild steel,Bar,Round,Bright,4.75,mm,,,,4.75,,,,2.125,,,m,,2.85,0.14,5.3125
2020,MST00047,Mild steel,Bar,Round,Bright,5,mm,,,,5,,,,12.075,,,m,,3.51,0.14,37.17828947
2020,MST00048,Mild steel,Bar,Round,Bright,6,mm,,,,6,,,,13.48,,,m,,4.67,0.14,55.22070175
2020,MST00049,Mild steel,Bar,Round,Bright,8,mm,,,,8,,,,17.1,,,m,,7.71,0.14,115.65
2020,MST00050,Mild steel,Bar,Round,Bright,10,mm,,,,10,,,,18.82,,,m,,11.68,0.14,192.8224561
2020,MST00051,Mild steel,Bar,Round,Bright,12,mm,,,,12,,,,34.97,,,m,,16.95,0.14,519.9486842
2020,MST00052,Mild steel,Bar,Round,Bright,16,mm,,,,16,,,,22.02,,,m,,26.54,0.14,512.6410526
2020,MST00053,Mild steel,Bar,Round,Bright,20,mm,,,,20,,,,0,,,m,,43.83,0.14,0
2020,MST00054,Mild steel,Bar,Round,Bright,22,mm,,,,22,,,,17.42,,,m,,53.03,0.14,810.335614
2020,MST00055,Mild steel,Bar,Round,Bright,24,mm,,,,24,,,,5.84,,,m,,68,0.14,348.3508772
2020,MST00056,Mild steel,Bar,Round,Bright,25,mm,,,,25,,,,4.37,,,m,,68,0.14,260.6666667
2020,MST00057,Mild steel,Bar,Round,Bright,28,mm,,,,28,,,,5.545,,,m,,97.88,0.14,476.0917544
2020,MST00058,Mild steel,Bar,Round,Bright,30,mm,,,,30,,,,4.115,,,m,,97.88,0.14,353.3124561
2020,MST00059,Mild steel,Bar,Round,Bright,40,mm,,,,40,,,,3.125,,,m,,184.61,0.14,506.058114
2020,ALM00018,Aluminium,Bar,Round,,4.7,mm,,,,4.7,,,,,,,m,,2.28,0.14,0
2020,ALM00019,Aluminium,Bar,Round,,6,mm,,,,6,,,,64.505,,,m,,7.52,0.14,425.5066667
2020,ALM00020,Aluminium,Bar,Round,,8,mm,,,,8,,,,24.66,,,m,,9.12,0.14,29.65
2020,ALM00021,Aluminium,Bar,Round,,9.5,mm,,,,9.5,,,,4.61,,,m,,9.38,0.14,37.93140351
2020,ALM00022,Aluminium,Bar,Round,,10,mm,,,,10,,,,48.09,,,m,,14.25,0.14,601.125
2020,ALM00023,Aluminium,Bar,Round,,12,mm,,,,12,,,,20.09,,,m,,21.66,0.14,381.71
2020,ALM00024,Aluminium,Bar,Round,,12.7,mm,,,,12.7,,,,1.845,,,m,,21.66,0.14,35.055
2020,ALM00025,Aluminium,Bar,Round,,16,mm,,,,16,,,,14.825,,,m,,35.91,0.14,466.9875
2020,ALM00026,Aluminium,Bar,Round,,20,mm,,,,20,,,,4.485,,,m,,57,0.14,224.25
2020,ALM00027,Aluminium,Bar,Round,,25,mm,,,,25,,,,5.33,,,m,,86.64,0.14,405.08
2020,ALM00028,Aluminium,Bar,Round,,30,mm,,,,30,,,,1,,,m,,132.81,0.14,116.5
2020,ALM00029,Aluminium,Bar,Round,,32,mm,,,,32,,,,17.93,,,m,,144.1,0.14,2266.414912
2020,ALM00030,Aluminium,Bar,Round,,40,mm,,,,40,,,,1.53,,,m,,231.4,0.14,310.5631579
